dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
magic,random,0.30,deem,0.819185282522996,0.7876153178144037,0.8210561497326203,0.7728277841498816,1.9892467595636845,1.965716939419508,1.068359512835741,53.0,15215.0,1522.0
magic,shift,0.06,cleancore,0.8612352168199737,0.8429286952692847,0.8571996054565951,0.8333025836406788,4.086746580898762,4.064819760620594,3.030111663043499,165.0,15215.0,1522.0
magic,shift,0.06,gradmatch,0.8483574244415243,0.8220922499516028,0.8580534825870647,0.8052437163078798,1.2454507686197758,1.2266973853111267,0.9721970781683922,88.0,15215.0,300.0
magic,shift,0.06,deem,0.8360052562417871,0.8100297190611003,0.8362468639378631,0.796402043597308,2.5635681562125683,2.5393341332674026,1.5336900390684605,53.0,15215.0,1522.0
magic,shift,0.12,cleancore,0.8417871222076215,0.8173004095847554,0.8420471693031317,0.8039392022529982,4.214444510638714,4.192059393972158,3.056853197515011,166.0,15215.0,1522.0
magic,shift,0.12,gradmatch,0.8367936925098555,0.8126473142511352,0.8334796164326137,0.8007724383385351,1.803810466080904,1.7859676964581013,1.4788452871143818,183.0,15215.0,300.0
magic,shift,0.12,deem,0.8415243101182655,0.8146873827114247,0.847588742816846,0.7989480575585775,2.221809785813093,2.1970477364957333,1.2788406126201153,53.0,15215.0,1522.0
magic,shift,0.18,cleancore,0.8365308804204994,0.8143582141064257,0.8292417258240148,0.8048451821139186,3.805887244641781,3.7741425931453705,2.6915787905454636,154.0,15215.0,1522.0
magic,shift,0.18,gradmatch,0.828646517739816,0.8083960773119503,0.8156444865419528,0.8028693250154657,1.3885433450341225,1.369477391242981,1.0798053294420242,117.0,15215.0,300.0
magic,shift,0.18,deem,0.8318002628120894,0.804360750036152,0.8327758570026321,0.7902519535900796,2.101893901824951,2.0771471560001373,1.1258221715688705,53.0,15215.0,1522.0
magic,shift,0.24,cleancore,0.8375821287779238,0.8152462158115656,0.8310555472336758,0.8053138498433432,3.422030109912157,3.3901421017944813,2.3768033273518085,130.0,15215.0,1522.0
magic,shift,0.24,gradmatch,0.8275952693823916,0.7944986685652976,0.8394109019345735,0.7769191595124402,1.5577835850417614,1.5392733216285706,1.2564885020256042,151.0,15215.0,300.0
magic,shift,0.24,deem,0.8252299605781866,0.792148254667993,0.835029981434091,0.7750950816851195,1.8037510588765144,1.7851691730320454,1.0495478436350822,53.0,15215.0,1522.0
magic,shift,0.30,cleancore,0.8323258869908016,0.8085458192215869,0.8260967647189474,0.7980110250523653,4.473378591239452,4.440961465239525,3.120588280260563,206.0,15215.0,1522.0
magic,shift,0.30,gradmatch,0.8118265440210249,0.7815276433232163,0.8069881600553107,0.7690340597531663,1.4043602794408798,1.3863222002983093,1.0979971773922443,120.0,15215.0,300.0
magic,shift,0.30,deem,0.8233902759526939,0.7926531406607308,0.8262639900363383,0.7776097400484603,1.7789925262331963,1.760957207530737,1.0140954107046127,53.0,15215.0,1522.0
miniboone,random,0.06,cleancore,0.9097758812901242,0.8869146126322689,0.8918517509727977,0.88235709333999,24.012145716696978,23.901328716427088,17.4223223477602,191.0,104051.0,5198.0
miniboone,random,0.06,gradmatch,0.8900165301964402,0.8624932777349872,0.8661169253435145,0.8590989086043034,10.139223393052816,10.062447488307953,9.637650918215513,139.0,104051.0,512.0
miniboone,random,0.06,deem,0.8769461423134587,0.8360835120079848,0.870143109528467,0.8147154897079094,14.072629529982805,14.001153696328402,11.779091365635395,58.0,104051.0,5203.0
miniboone,random,0.12,cleancore,0.8950909160804214,0.873445869646271,0.8649387555525916,0.8837633898930419,29.08196446299553,28.97587275505066,20.979665901511908,250.0,104051.0,5195.0
